CityCode,CountryCode,Name,UtcOffset,TimeZoneId,Airports
BUM,US,,,,
BUN,CO,,,,
BUO,SO,,,,
BUP,IN,,,,
BUQ,ZW,,,,{'AirportCode': 'BUQ'}
BUR,US,,,,{'AirportCode': 'BUR'}
BUS,GE,,,,{'AirportCode': 'BUS'}
BUT,GB,,,,
BUU,CI,,,,
BUV,UY,,,,
BUW,ID,,,,
BUX,ZR,,,,
BUY,AU,,,,
BUZ,IR,,,,
BVA,FR,,,,
BVB,BR,,,,
BVC,CV,,,,{'AirportCode': 'BVC'}
BVD,US,,,,
BVE,FR,,,,
BVF,FJ,,,,
BVG,NO,,,,
BVH,BR,,,,
BVI,AU,,,,
BVK,BO,,,,
BVL,BO,,,,
BVM,BR,,,,
BVO,US,,,,
BVP,PG,,,,
BVR,CV,,,,
BVS,BR,,,,
BVU,US,,,,
BVW,AU,,,,
BVX,US,,,,
BVY,US,,,,
BVZ,AU,,,,
BWA,NP,,,,
BWB,AU,,,,
BWC,US,,,,
BWD,US,,,,
BWE,DE,,,,
BWF,GB,,,,
BWG,US,,,,
BWI,US,,,,{'AirportCode': 'BWI'}
BWJ,PG,,,,
BWK,HR,,,,{'AirportCode': 'BWK'}
BWL,US,,,,
BWM,US,,,,
BWN,BN,,,,{'AirportCode': 'BWN'}
BWO,RU,,,,
BWP,PG,,,,
BWQ,AU,,,,
BWS,US,,,,
BWT,AU,,,,
BWU,AU,,,,
BWY,GB,,,,
BXA,US,,,,
BXB,ID,,,,
BXC,US,,,,
BXD,ID,,,,
BXE,SN,,,,
