AirportCode,DepartureAirportCode,ScheduledDepartureLocal,ScheduledDepartureUTC,ActualDepartureLocal,ActualDepartureUTC,DepartureTimeStatus,ArrivalAirportCode,ScheduledArrivalLocal,ScheduledArrivalUTC,ActualArrivalLocal,ActualArrivalUTC,ArrivalTimeStatus,MarketingAirlineID,MarketingFlightNumber,OperatingAirlineID,OperatingFlightNumber,AircraftCode,AircraftRegistration,FlightStatus,ServiceType
PAD,PAD,2024-06-15T03:15,2024-06-15T01:15Z,2024-06-15T03:30,2024-06-15T01:30Z,Flight On Time,AYT,2024-06-15T07:45,2024-06-15T04:45Z,2024-06-15T08:20,2024-06-15T05:20Z,Flight Delayed,XQ,369,XQ,369,73H,YRHLB,Flight Landed,Passenger
PDL,PDL,2024-06-14T23:55,2024-06-14T23:55Z,2024-06-15T00:05,2024-06-15T00:05Z,Flight On Time,ZRH,2024-06-15T06:30,2024-06-15T04:30Z,2024-06-15T06:30,2024-06-15T04:30Z,Flight On Time,WK,281,WK,281,320,HBJJN,Flight Landed,Passenger
PEK,PEK,2024-06-15T02:20,2024-06-14T18:20Z,2024-06-15T03:21,2024-06-14T19:21Z,Flight Delayed,MUC,2024-06-15T06:20,2024-06-15T04:20Z,2024-06-15T07:24,2024-06-15T05:24Z,Flight Delayed,CA,961,CA,961,773,B2089,Flight Landed,Passenger
PEK,PEK,2024-06-15T02:30,2024-06-14T18:30Z,2024-06-15T02:46,2024-06-14T18:46Z,Flight Delayed,FRA,2024-06-15T06:50,2024-06-15T04:50Z,2024-06-15T06:46,2024-06-15T04:46Z,Flight Early,CA,965,CA,965,773,B2047,Flight Landed,Passenger
PEK,PEK,2024-06-15T02:50,2024-06-14T18:50Z,,,Flight On Time,VIE,2024-06-15T06:50,2024-06-15T04:50Z,2024-06-15T06:54,2024-06-15T04:54Z,Flight On Time,CA,841,CA,841,359,B307C,Flight Landed,Passenger
ADB,ADB,2024-06-17T01:30,2024-06-16T22:30Z,2024-06-17T01:28,2024-06-16T22:28Z,Flight Early,PRN,2024-06-17T02:05,2024-06-17T00:05Z,2024-06-17T01:51,2024-06-16T23:51Z,Flight Early,XQ,822,XQ,822,73H,TCSPB,Flight Landed,Passenger
ADB,ADB,2024-06-17T02:30,2024-06-16T23:30Z,2024-06-17T02:28,2024-06-16T23:28Z,Flight Early,HAJ,2024-06-17T04:50,2024-06-17T02:50Z,2024-06-17T04:53,2024-06-17T02:53Z,Flight On Time,XQ,994,XQ,994,73H,TCSUU,Flight Landed,Passenger
ADB,ADB,2024-06-17T03:50,2024-06-17T00:50Z,2024-06-17T03:57,2024-06-17T00:57Z,Flight On Time,DTM,2024-06-17T06:10,2024-06-17T04:10Z,2024-06-17T06:20,2024-06-17T04:20Z,Flight On Time,XQ,936,XQ,936,73H,TCSOF,Flight Landed,Passenger
ADB,ADB,2024-06-17T03:50,2024-06-17T00:50Z,2024-06-17T03:44,2024-06-17T00:44Z,Flight Early,DUS,2024-06-17T06:15,2024-06-17T04:15Z,2024-06-17T06:07,2024-06-17T04:07Z,Flight Early,XQ,988,XQ,988,73H,TCSPJ,Flight Landed,Passenger
ADB,ADB,2024-06-17T04:00,2024-06-17T01:00Z,2024-06-17T03:58,2024-06-17T00:58Z,Flight Early,SCN,2024-06-17T06:15,2024-06-17T04:15Z,2024-06-17T06:14,2024-06-17T04:14Z,Flight Early,XQ,864,XQ,864,73H,TCSEU,Flight Landed,Passenger
ADD,ADD,2024-06-17T00:05,2024-06-16T21:05Z,,,Flight On Time,FRA,2024-06-17T06:25,2024-06-17T04:25Z,2024-06-17T06:25,2024-06-17T04:25Z,Flight On Time,ET,706,ET,706,359,ETAZI,Flight Landed,Passenger
ADD,ADD,2024-06-17T00:05,2024-06-16T21:05Z,,,Flight On Time,CDG,2024-06-17T06:45,2024-06-17T04:45Z,,,Flight On Time,ET,734,ET,734,359,,No status,Passenger
ADD,ADD,2024-06-17T00:35,2024-06-16T21:35Z,,,Flight On Time,VIE,2024-06-17T05:55,2024-06-17T03:55Z,2024-06-17T06:24,2024-06-17T04:24Z,Flight Delayed,ET,724,ET,724,77L,WILAD,Flight Landed,Passenger
AGP,AGP,2024-06-17T01:15,2024-06-16T23:15Z,,,Flight On Time,HEL,2024-06-17T06:45,2024-06-17T03:45Z,,,Flight On Time,AY,1676,AY,1676,32B,,No status,Passenger
