AirportCode,Latitude,Longitude,CityCode,CountryCode,LocationType,AirportName,UtcOffset,TimeZoneId
IGR,-25.7372,-54.4733,IGR,AR,Airport,Iguazu,-3.0,America/Argentina/Buenos_Aires
IGU,-25.5961,-54.4872,IGU,BR,Airport,Foz do Igua̤u - Cataratas,-3.0,America/Sao_Paulo
IKA,35.4161,51.1522,THR,IR,Airport,Tehran - Imam Khomeini Intl,4.5,Asia/Tehran
ILE,31.085,-97.6867,ILE,US,Airport,Killeen Municipal,-5.0,America/Chicago
ILM,34.2706,-77.9025,ILM,US,Airport,Wilmington,-4.0,America/New_York
IMF,24.76,93.8967,IMF,IN,Airport,Imphal,5.5,Asia/Kolkata
INC,38.4933,106.0119,INC,CN,Airport,Yinchuan,8.0,Asia/Shanghai
IND,39.7172,-86.2944,IND,US,Airport,"Indianapolis International, IN",-4.0,America/Indiana/Indianapolis
INI,43.3372,21.8536,INI,RS,Airport,Nis,2.0,Europe/Belgrade
INN,47.2603,11.3439,INN,AT,Airport,Innsbruck - Kranebitten,2.0,Europe/Vienna
IOA,39.6964,20.8225,IOA,GR,Airport,Ioannina,3.0,Europe/Athens
IOS,-14.8158,-39.0333,IOS,BR,Airport,Ilheus,-3.0,America/Belem
IPL,32.835,-115.5747,IPL,US,Airport,El Centro - Imperial County,-7.0,America/Los_Angeles
IQQ,-20.5353,-70.1814,IQQ,CL,Airport,Iquique,-4.0,America/Santiago
ISB,33.6167,73.0992,ISB,PK,Airport,Islamabad International,5.0,Asia/Karachi
ISE,37.8556,30.3683,ISE,TR,Airport,ISPARTA SULEYMAN DEMIREL,3.0,Europe/Istanbul
ISG,24.3964,124.245,ISG,JP,Airport,Ishigaki,9.0,Asia/Tokyo
ISL,40.9769,28.815,IST,TR,Airport,Istanbul,3.0,Europe/Istanbul
ISN,48.1792,-103.6433,ISN,US,Airport,Williston - Sloulin Field International,-5.0,America/Chicago
IST,40.9769,28.8147,IST,TR,Airport,Istanbul,3.0,Europe/Istanbul
ISU,35.5625,45.3158,ISU,IQ,Airport,Sulaymaniyah International,3.0,Asia/Baghdad
ITH,42.4911,-76.4608,ITH,US,Airport,Ithaca,-4.0,America/New_York
ITM,34.7856,135.4383,OSA,JP,Airport,Osaka - Itami,9.0,Asia/Tokyo
ITO,19.7214,-155.0483,ITO,US,Airport,Hilo International,-10.0,Pacific/Honolulu
IVC,-46.4147,168.3131,IVC,NZ,Airport,INVERCARGILL,12.0,Pacific/Auckland
IVL,68.6072,27.4053,IVL,FI,Airport,Ivalo,3.0,Europe/Helsinki
IWJ,34.6764,131.7903,IWJ,JP,Airport,Iwami,9.0,Asia/Tokyo
IWK,34.1353,132.2356,IWK,JP,Airport,Iwakuni,9.0,Asia/Tokyo
IXA,23.8869,91.2406,IXA,IN,Airport,Agartala,5.5,Asia/Kolkata
IXB,26.6811,88.3286,IXB,IN,Airport,Bagdogra,5.5,Asia/Kolkata
IXC,30.6733,76.7886,IXC,IN,Airport,Chandigarh,5.5,Asia/Kolkata
IXD,25.44,81.7339,IXD,IN,Airport,Allahabad,5.5,Asia/Kolkata
IXE,12.9614,74.89,IXE,IN,Airport,Mangalore,5.5,Asia/Kolkata
IXJ,32.6892,74.8375,IXJ,IN,Airport,Jammu,5.5,Asia/Kolkata
IXL,34.1358,77.5464,IXL,IN,Airport,Leh,5.5,Asia/Kolkata
IXM,9.8344,78.0933,IXM,IN,Airport,Madurai,5.5,Asia/Kolkata
IXR,23.3142,85.3217,IXR,IN,Airport,Ranchi,5.5,Asia/Kolkata
IXS,24.9131,92.9786,IXS,IN,Airport,Silchar,5.5,Asia/Kolkata
IXU,19.8628,75.3981,IXU,IN,Airport,Aurangabad,5.5,Asia/Kolkata
IXZ,11.6411,92.7297,IXZ,IN,Airport,Port Blair,5.5,Asia/Kolkata
JAC,43.6072,-110.7378,JAC,US,Airport,"Jackson, WY",-6.0,America/Denver
JAI,26.8242,75.8122,JAI,IN,Airport,Jaipur,5.5,Asia/Kolkata
JAN,32.3111,-90.0758,JAN,US,Airport,"Jackson, Mississippi - International",-5.0,America/Chicago
JAX,30.4942,-81.6878,JAX,US,Airport,"Jacksonville, International, FL",-4.0,America/New_York
JDH,26.2511,73.0489,JDH,IN,Airport,Jodhpur,5.5,Asia/Kolkata
JDZ,29.3392,117.1764,JDZ,CN,Airport,Jingdezhen,8.0,Asia/Shanghai
JED,21.6794,39.1567,JED,SA,Airport,Jeddah - King Abdul Aziz International,3.0,Asia/Riyadh
JER,49.2078,-2.1953,JER,GB,Airport,Jersey,1.0,Europe/London
JFK,40.6397,-73.7789,NYC,US,Airport,"New York - JFK International, NY",-4.0,America/New_York
JGA,22.4656,70.0125,JGA,IN,Airport,Jamnagar,5.5,Asia/Kolkata
JHB,1.6389,103.6703,JHB,MY,Airport,Johor Bahru - Sultan Ismail International,8.0,Asia/Kuala_Lumpur
JHM,20.9631,-156.6731,JHM,US,Airport,Kapalua,-10.0,Pacific/Honolulu
JIB,11.5472,43.1594,JIB,DJ,Airport,Djibouti,3.0,Africa/Djibouti
JIJ,9.3633,42.7897,JIJ,ET,Airport,Jijiga,3.0,Africa/Addis_Ababa
JIM,7.6628,36.8181,JIM,ET,Airport,Jimma,3.0,Africa/Addis_Ababa
JJN,24.7956,118.5881,JJN,CN,Airport,Quanzhou,8.0,Asia/Shanghai
JKG,57.7575,14.0686,JKG,SE,Airport,Jonkoping,2.0,Europe/Stockholm
JKH,38.3431,26.1406,JKH,GR,Airport,Chios,3.0,Europe/Athens
JLR,23.1778,80.0519,JLR,IN,Airport,Jabalpur,5.5,Asia/Kolkata
JMK,37.435,25.3481,JMK,GR,Airport,Mykonos,3.0,Europe/Athens
JMS,46.9297,-98.6783,JMS,US,Airport,"Jamestown, North Dakota",-5.0,America/Chicago
JMU,46.8433,130.4653,JMU,CN,Airport,Jiamusi,8.0,Asia/Shanghai
JNB,-26.1392,28.2461,JNB,ZA,Airport,Johannesburg- O.R. Tambo International Airport,2.0,Africa/Johannesburg
JOI,-26.2244,-48.7975,JOI,BR,Airport,Joinville,-3.0,America/Sao_Paulo
JOK,56.7008,47.8964,JOK,RU,Airport,Yoshkar-Ola,3.0,Europe/Moscow
JPA,-7.1483,-34.9506,JPA,BR,Airport,JOAO PESSOA CASTRO PINTO INTL,-3.0,America/Araguaina
JRH,26.7317,94.1756,JRH,IN,Airport,Jorhat,5.5,Asia/Kolkata
